transmitting,holding,state,prob,rate
6,13,c,1.1938085018540749e-05,333.33
6,14,c,1.1369598282551358e-05,333.33
6,15,c,1.0828182653010555e-05,333.33
6,16,c,1.0312549014649602e-05,333.33
6,17,c,9.821469639730786e-06,333.33
6,18,c,9.353775264297837e-06,333.33
6,19,c,8.908352303919768e-06,333.33
6,20,c,8.484140203258404e-06,333.33
6,21,c,8.080128909611053e-06,333.33
6,22,c,7.695356468931665e-06,333.33
6,23,c,7.328906734800906e-06,333.33
6,24,c,6.979907187406951e-06,333.33
6,25,c,6.647526855976301e-06,333.33
6,26,c,6.3309743403479126e-06,333.33
6,27,c,6.0294959263132526e-06,333.33
6,28,c,5.742373791218023e-06,333.33
6,29,c,5.4689242950579125e-06,333.33
6,30,c,5.208496352372562e-06,333.33
6,31,c,4.9604698820462785e-06,333.33
6,32,c,4.724254330886879e-06,333.33
6,33,c,4.499287267855556e-06,333.33
6,34,c,4.285033044545364e-06,333.33
6,35,c,4.080981519953219e-06,333.33
6,36,c,3.886646845680894e-06,333.33
6,37,c,3.7015663093166446e-06,333.33
6,38,c,3.5252992324513526e-06,333.33
6,39,c,3.3574259219208804e-06,333.33
6,40,c,3.197546669902157e-06,333.33
6,41,c,3.0452808025748126e-06,333.33
6,42,c,2.9002657737015604e-06,333.33
6,43,c,2.7621563013325208e-06,333.33
6,44,c,2.6306235456317075e-06,333.33
6,45,c,2.505354326133962e-06,333.33
6,46,c,2.3860503756925926e-06,333.33
6,47,c,2.2724276306942783e-06,333.33
6,48,c,2.1642155544305014e-06,333.33
6,49,c,2.0611564931870455e-06,333.33
6,50,c,4.122263518676956e-05,333.33
7,0,c,2.5278609201724766e-05,333.33
7,1,c,2.407485214917843e-05,333.33
7,2,c,2.2928417516150347e-05,333.33
7,3,c,2.1836575632471088e-05,333.33
7,4,c,2.0796726813655853e-05,333.33
7,5,c,1.9806395171073662e-05,333.33
7,6,c,1.8863222717050818e-05,333.33
7,7,c,1.7964963750544843e-05,333.33
7,8,c,1.7109479509212107e-05,333.33
7,9,c,1.6294733078364394e-05,333.33
7,10,c,1.5518784539975146e-05,333.33
7,11,c,1.4779786354294041e-05,333.33
7,12,c,1.4075978960581734e-05,333.33
7,13,c,1.3405686587610897e-05,333.33
7,14,c,1.2767313263991758e-05,333.33
7,15,c,1.2159339017470684e-05,333.33
7,16,c,1.1580316256378173e-05,333.33
7,17,c,1.1028866322904542e-05,333.33
7,18,c,1.0503676210061908e-05,333.33
7,19,c,1.0003495436193272e-05,333.33
7,20,c,9.52713306647189e-06,333.33
7,21,c,9.07345487840241e-06,333.33
7,22,c,8.641380660481132e-06,333.33
7,23,c,8.229881640439049e-06,333.33
7,24,c,7.837978035893863e-06,333.33
7,25,c,7.464736720896264e-06,333.33
7,26,c,7.109269005012633e-06,333.33
7,27,c,6.770728516686524e-06,333.33
7,28,c,6.448309188248835e-06,333.33
7,29,c,6.141243336597285e-06,333.33
7,30,c,5.8487998355066444e-06,333.33
7,31,c,5.570282374530819e-06,333.33
7,32,c,5.305027801386172e-06,333.33
7,33,c,5.052404542797746e-06,333.33
7,34,c,4.811811100659829e-06,333.33
7,35,c,4.582674619984377e-06,333.33
7,36,c,4.364449525045454e-06,333.33
7,37,c,4.1566162201152085e-06,333.33
7,38,c,3.958679852315348e-06,333.33
7,39,c,3.770169133365691e-06,333.33
7,40,c,3.5906352180779758e-06,333.33
7,41,c,3.419650634603238e-06,333.33
7,42,c,3.256808267173669e-06,333.33
7,43,c,3.101720386775454e-06,333.33
7,44,c,2.9540177279880902e-06,333.33
7,45,c,2.813348609533915e-06,333.33
7,46,c,2.679378097034057e-06,333.33
7,47,c,2.551787205645366e-06,333.33
7,48,c,2.430272140457375e-06,333.33
7,49,c,2.3145435731155794e-06,333.33
7,50,c,4.629031597233713e-05,333.33
8,0,c,2.8352776533420084e-05,333.33
8,1,c,2.7002628887242504e-05,333.33
8,2,c,2.5716774720979882e-05,333.33
8,3,c,2.449215240517208e-05,333.33
8,4,c,2.3325846104324635e-05,333.33
8,5,c,2.2215078833576884e-05,333.33
8,6,c,2.115720584678202e-05,333.33
8,7,c,2.0149708339775025e-05,333.33
8,8,c,1.9190187452790782e-05,333.33
8,9,c,1.8276358559067734e-05,333.33
8,10,c,1.740604582411211e-05,333.33
8,11,c,1.6577177026278094e-05,333.33
8,12,c,1.5787778622409867e-05,333.33
8,13,c,1.5035971048288893e-05,333.33
8,14,c,1.4319964243942653e-05,333.33
8,15,c,1.3638053391408501e-05,333.33
8,16,c,1.2988614855380065e-05,333.33
8,17,c,1.2370102317389438e-05,333.33
8,18,c,1.1781043094024501e-05,333.33
8,19,c,1.1220034630431351e-05,333.33
8,20,c,1.0685741160869716e-05,333.33
8,21,c,1.0176890528212592e-05,333.33
8,22,c,9.692271155058432e-06,333.33
8,23,c,9.230729158612781e-06,333.33
8,24,c,8.791165603786953e-06,333.33
8,25,c,8.37253388590324e-06,333.33
8,26,c,7.973837239553309e-06,333.33
8,27,c,7.594126364754635e-06,333.33
8,28,c,7.232497166918474e-06,333.33
8,29,c,6.888088603839352e-06,333.33
8,30,c,6.560080635960606e-06,333.33
8,31,c,6.247692273644913e-06,333.33
8,32,c,5.950179717626927e-06,333.33
8,33,c,5.666834588076536e-06,333.33
8,34,c,5.396982237944457e-06,333.33
8,35,c,5.139980146671308e-06,333.33
8,36,c,4.895216389967101e-06,333.33
8,37,c,4.662108183568998e-06,333.33
8,38,c,4.4401004947256205e-06,333.33
8,39,c,4.228664721372634e-06,333.33
8,40,c,4.0272974332936035e-06,333.33
8,41,c,3.835519173338929e-06,333.33
8,42,c,3.652873315798299e-06,333.33
8,43,c,3.478924979476274e-06,333.33
8,44,c,3.313259991902894e-06,333.33
8,45,c,3.1554839033808322e-06,333.33
8,46,c,3.005221047819986e-06,333.33
8,47,c,2.8621136481349447e-06,333.33
8,48,c,2.7258209644482016e-06,333.33
8,49,c,2.5960184826978934e-06,333.33
8,50,c,5.1919746611490475e-05,333.33
9,0,c,3.174962895763775e-05,333.33
9,1,c,3.023772458550262e-05,333.33
9,2,c,2.879781648246487e-05,333.33
9,3,c,2.7426476215584458e-05,333.33
9,4,c,2.6120438612516513e-05,333.33
9,5,c,2.487659398709382e-05,333.33
9,6,c,2.3691980735054248e-05,333.33
9,7,c,2.256377828244088e-05,333.33
9,8,c,2.1489300370210384e-05,333.33
9,9,c,2.046598865767744e-05,333.33
9,10,c,1.949140663113856e-05,333.33
9,11,c,1.8563233802900558e-05,333.33
9,12,c,1.7679260185986974e-05,333.33
9,13,c,1.6837381031950527e-05,333.33
9,14,c,1.6035591819397838e-05,333.33
9,15,c,1.5271983481952337e-05,333.33
9,16,c,1.4544737861910647e-05,333.33
9,17,c,1.3852123381496914e-05,333.33
9,18,c,1.319249091993287e-05,333.33
9,19,c,1.2564269886928986e-05,333.33
9,20,c,1.1965964483150856e-05,333.33
9,21,c,1.1396150138435515e-05,333.33
9,22,c,1.0853470120258312e-05,333.33
9,23,c,1.0336632303063246e-05,333.33
9,24,c,9.844406091845182e-06,333.33
9,25,c,9.375619491795489e-06,333.33
9,26,c,8.929156318354576e-06,333.33
9,27,c,8.503953539013846e-06,333.33
9,28,c,8.0989987424253e-06,333.33
9,29,c,7.713327727982905e-06,333.33
9,30,c,7.346022209809545e-06,333.33
9,31,c,6.996207630500587e-06,333.33
9,32,c,6.6630510786660715e-06,333.33
9,33,c,6.345759305860174e-06,333.33
9,34,c,6.043576837804413e-06,333.33
9,35,c,5.755784175577338e-06,333.33
9,36,c,5.48169608244022e-06,333.33
9,37,c,5.220659952382733e-06,333.33
9,38,c,4.972054256278841e-06,333.33
9,39,c,4.7352870620255745e-06,333.33
9,40,c,4.509794624907555e-06,333.33
9,41,c,4.295040045521374e-06,333.33
9,42,c,4.090511991632579e-06,333.33
9,43,c,3.895723480286143e-06,333.33
9,44,c,3.7102107182318433e-06,333.33
9,45,c,3.533531998130602e-06,333.33
9,46,c,3.3652666465805967e-06,333.33
9,47,c,3.2050140225229243e-06,333.33
9,48,c,3.052392562911489e-06,333.33
9,49,c,2.907038875010099e-06,333.33
9,50,c,5.814007981241621e-05,333.33
10,0,c,3.559923327230973e-05,333.33
10,1,c,7.390504548238793e-05,333.33
10,2,c,0.00011541347480752786,333.33
10,3,c,0.00016064647473970314,333.33
10,4,c,0.0002101306574789405,333.33
10,5,c,0.0002643798968755147,333.33
10,6,c,0.0003238813125896062,333.33
10,7,c,0.00038908420567324817,333.33
10,8,c,0.00046039155997750755,333.33
10,9,c,0.0005381537640037208,333.33
10,10,c,0.0006251174970761708,333.33
10,11,c,0.0007233856316709046,333.33
10,12,c,0.0008344993393148429,333.33
10,13,c,0.0009595120969880976,333.33
10,14,c,0.0010990562836574323,333.33
10,15,c,0.0012534030032475474,333.33
10,16,c,0.001422515720902866,333.33
10,17,c,0.0016060982535021672,333.33
10,18,c,0.0018036376128562003,333.33
10,19,c,0.0020144421605759063,333.33
10,20,c,0.002289193214933692,333.33
10,21,c,0.0026171266160454074,333.33
10,22,c,0.0029885581751431154,333.33
10,23,c,0.003394795713313319,333.33
10,24,c,0.003828057481713971,333.33
10,25,c,0.0042813965333910724,333.33
10,26,c,0.004748630644311463,333.33
10,27,c,0.005224277407037439,333.33
10,28,c,0.005703494144678618,333.33
10,29,c,0.006182022315474639,333.33
10,30,c,0.00773799581071526,333.33
10,31,c,0.009131761148823478,333.33
10,32,c,0.010375238537053933,333.33
10,33,c,0.011479580739210897,333.33
10,34,c,0.012455219135769708,333.33
10,35,c,0.013311907137544031,333.33
10,36,c,0.014058761100498815,333.33
10,37,c,0.014704298881250123,333.33
10,38,c,0.015256476165173597,333.33
10,39,c,0.015722720691825086,333.33
10,40,c,0.03882875878164605,333.33
10,41,c,0.0369797491367378,333.33
10,42,c,0.03521878857643177,333.33
10,43,c,0.0335416842392571,333.33
10,44,c,0.03194444292609482,333.33
10,45,c,0.030423261592338408,333.33
10,46,c,0.028974518292812983,333.33
10,47,c,0.027594763557894555,333.33
10,48,c,0.02628071218029479,333.33
10,49,c,0.02502923539295559,333.33
10,50,c,0.5005787008546324,333.33
1,0,t,0.000219012307739792,250
1,1,t,0.00020532401284056108,250
1,2,t,0.0001924912379765981,250
1,3,t,0.00018046051304552492,250
1,4,t,0.00016918170983247686,250
1,5,t,0.00015860783314192487,250
1,6,t,0.00014869482498372795,250
1,7,t,0.0001394013809970624,250
1,8,t,0.0001306887783486472,250
1,9,t,0.00012252071438678073,250
1,10,t,0.0001148631553796995,250
1,11,t,0.00010768419470796248,250
1,12,t,0.00010095391991945927,250
1,13,t,9.464428809396687e-05,250
1,14,t,8.872900899698161e-05,250
1,15,t,8.318343553670529e-05,250
1,16,t,7.798446106760456e-05,250
1,17,t,7.311042311209516e-05,250
1,18,t,6.85410130999694e-05,250
1,19,t,6.425719174909188e-05,250
1,20,t,6.0241109734607924e-05,250
1,21,t,5.6476033316699395e-05,250
1,22,t,5.294627461615535e-05,250
1,23,t,4.963712624801302e-05,250
1,24,t,4.653480004066594e-05,250
1,25,t,4.3626369584819094e-05,250
1,26,t,4.0899716373291216e-05,250
1,27,t,3.834347930704956e-05,250
1,28,t,3.59470073569873e-05,250
1,29,t,3.370031518461773e-05,250
1,30,t,3.1594041536357025e-05,250
1,31,t,2.961941023788744e-05,250
1,32,t,2.77681936269725e-05,250
1,33,t,2.6032678271231363e-05,250
1,34,t,2.4405632828539944e-05,250
1,35,t,2.2880277916756175e-05,250
1,36,t,2.145025786565424e-05,250
1,37,t,2.0109614235371157e-05,250
1,38,t,1.885276098906807e-05,250
1,39,t,1.7674461217894748e-05,250
1,40,t,1.6569805320560292e-05,250
1,41,t,1.553419054626025e-05,250
1,42,t,1.4563301816682252e-05,250
1,43,t,1.3653093746497948e-05,250
1,44,t,1.2799773787404748e-05,250
1,45,t,1.199978642567986e-05,250
1,46,t,1.1249798367818624e-05,250
1,47,t,1.0546684651497348e-05,250
1,48,t,9.887515624844597e-06,250
1,49,t,9.269544739561197e-06,250
1,50,t,0.00013904289300789907,250
2,0,c,0.00012155189234114081,250
2,1,c,0.00011395488482546992,250
2,2,c,0.00010683269116988548,250
2,3,c,0.00010015563545224506,250
2,4,c,9.389589649942341e-05,250
2,5,c,8.8027391964911e-05,250
2,6,c,8.252566965134452e-05,250
2,7,c,7.736780562715028e-05,250
2,8,c,7.253230870897786e-05,250
2,9,c,6.799903091482476e-05,250
2,10,c,6.374908351397224e-05,250
2,11,c,5.976475832374273e-05,250
2,12,c,5.60294539248256e-05,250
2,13,c,5.252760648862701e-05,250
2,14,c,4.924462492745133e-05,250
2,15,c,4.616683009860058e-05,250
2,16,c,4.32813978073062e-05,250
2,17,c,4.0576305372319275e-05,250
2,18,c,3.804028153149277e-05,250
2,19,c,3.5662759477927845e-05,250
2,20,c,3.3433832831357524e-05,250
2,21,c,3.134421436133139e-05,250
2,22,c,2.938519729061627e-05,250
2,23,c,2.754861901639042e-05,250
2,24,c,2.5826827099575406e-05,250
2,25,c,2.4212647379173544e-05,250
2,26,c,2.2699354080621144e-05,250
2,27,c,2.1280641790576676e-05,250
2,28,c,1.995059918476043e-05,250
2,29,c,1.870368439783031e-05,250
2,30,c,1.7534701931133537e-05,250
2,31,c,1.6438781005610134e-05,250
2,32,c,1.541135526628056e-05,250
2,33,c,1.4448143756125522e-05,250
2,34,c,1.3545133078267068e-05,250
2,35,c,1.269856067355484e-05,250
2,36,c,1.1904899143356505e-05,250
2,37,c,1.1160841551794884e-05,250
2,38,c,1.0463287646843547e-05,250
2,39,c,9.809330942752625e-06,250
2,40,c,9.196246609179788e-06,250
2,41,c,8.621480118472553e-06,250
2,42,c,8.082636600749493e-06,250
2,43,c,7.577470865990251e-06,250
2,44,c,7.103878048876077e-06,250
2,45,c,6.659884838338544e-06,250
2,46,c,6.2436412554169275e-06,250
2,47,c,5.853412945222383e-06,250
2,48,c,5.487573950243385e-06,250
2,49,c,5.144599935268483e-06,250
2,50,c,7.716884469131328e-05,250
3,0,c,0.00013039359135784612,250
3,1,c,0.00012224397661752496,250
3,2,c,0.00011460371375337596,250
3,3,c,0.00010744096821370065,250
3,4,c,0.00010072589510965135,250
3,5,c,9.443051486138144e-05,250
3,6,c,8.852859661659806e-05,250
3,7,c,8.299554895363346e-05,250
3,8,c,7.780831741795054e-05,250
3,9,c,7.294528846119898e-05,250
3,10,c,6.838619938406058e-05,250
3,11,c,6.411205390856525e-05,250
3,12,c,6.010504302618133e-05,250
3,13,c,5.634847079348211e-05,250
3,14,c,5.282668476554948e-05,250
3,15,c,4.952501077703088e-05,250
3,16,c,4.6429691799825215e-05,250
3,17,c,4.3527830621323186e-05,250
3,18,c,4.080733610649157e-05,250
3,19,c,3.825687281779513e-05,250
3,20,c,3.586581378342176e-05,250
3,21,c,3.362419621886441e-05,250
3,22,c,3.1522680014858694e-05,250
3,23,c,2.955250881990062e-05,250
3,24,c,2.770547355543392e-05,250
3,25,c,2.5973878211453673e-05,250
3,26,c,2.4350507779421957e-05,250
3,27,c,2.2828598189642337e-05,250
3,28,c,2.1401808127638332e-05,250
3,29,c,2.006419261156307e-05,250
3,30,c,1.8810178222093243e-05,250
3,31,c,1.7634539878870458e-05,250
3,32,c,1.6532379069886775e-05,250
3,33,c,1.5499103440686103e-05,250
3,34,c,1.4530407659291901e-05,250
3,35,c,1.3622255477858345e-05,250
3,36,c,1.2770862914147096e-05,250
3,37,c,1.1972682485404283e-05,250
3,38,c,1.122438842699676e-05,250
3,39,c,1.0522862834970508e-05,250
3,40,c,9.865182674632153e-06,250
3,41,c,9.248607601425545e-06,250
3,42,c,8.670568542479782e-06,250
3,43,c,8.128656992472985e-06,250
3,44,c,7.620614977775374e-06,250
3,45,c,7.144325648668409e-06,250
3,46,c,6.6978044584651095e-06,250
3,47,c,6.279190894818154e-06,250
3,48,c,5.886740728016069e-06,250
3,49,c,5.5188187426611185e-06,250
3,50,c,8.278211557519554e-05,250
4,0,c,0.00013990026788621032,250
4,1,c,0.00013115648474867957,250
4,2,c,0.0001229591890820366,250
4,3,c,0.00011527422535510114,250
4,4,c,0.0001080695727617414,250
4,5,c,0.00010131521179973312,250
4,6,c,9.498299918920897e-05,250
4,7,c,8.904655060916449e-05,250
4,8,c,8.348113076086922e-05,250
