gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,13,8,3,10,0.0,0.0,5701339,5454137,0
0.003,13,9,3,10,2983974.0,0.0,6136120,2910935,0
0.003,14,0,3,10,0.0,0.0,5876339,5629053,0
0.003,14,1,3,10,2994695.0,0.0,5935201,2699451,0
0.003,14,2,3,10,2977074.0,0.0,6158674,2946927,0
0.003,14,3,3,10,2989111.0,0.0,6159979,2929977,0
0.003,14,4,3,10,12010.0,4505.25,6092535,5833346,0.3751248959200666
0.003,14,5,3,10,590857.0,0.0,5762097,4930186,0
0.003,14,6,3,10,2995184.0,0.0,6412220,3169814,0
0.003,14,7,3,10,2386096.0,0.0,6164297,3530800,0
0.003,14,8,3,10,0.0,0.0,5997225,5749729,0
0.003,14,9,3,10,2984292.0,0.0,6251648,3020493,0
0.003,15,0,3,10,2982713.0,2032.6666666666667,5984264,2760537,0.0006814824847937655
0.003,15,1,3,10,2976388.0,0.0,5857623,2652355,0
0.003,15,2,3,10,2977107.0,0.0,5935954,2711501,0
0.003,15,3,3,10,0.0,0.0,5508127,5261472,0
0.003,15,4,3,10,18042.0,6005.0,5760781,5501580,0.33283449728411485
0.003,15,5,3,10,2989406.0,0.0,6105531,2874946,0
0.003,15,6,3,10,2988714.0,0.0,5863388,2633446,0
0.003,15,7,3,10,18089.0,2014.0,5949936,5684752,0.1113383824423683
0.003,15,8,3,10,0.0,0.0,6226410,5985606,0
0.003,15,9,3,10,2989331.0,0.0,5985811,2755137,0
0.003,16,0,3,10,2983003.0,2021.9999999999998,5856933,2632695,0.0006778404178607933
0.003,16,1,3,10,2976414.0,0.0,6032103,2808169,0
0.003,16,2,3,10,2994692.0,0.0,6062899,2827098,0
0.003,16,3,3,10,0.0,0.0,6267351,6020508,0
0.003,16,4,3,10,0.0,0.0,6452745,6212100,0
0.003,16,5,3,10,2989484.0,0.0,6105224,2880860,0
0.003,16,6,3,10,2994137.0,0.0,5850119,2615226,0
0.003,16,7,3,10,0.0,0.0,6129821,5882629,0
0.003,16,8,3,10,0.0,0.0,6068435,5821148,0
0.003,16,9,3,10,2977754.0,0.0,6141365,2922540,0
0.003,17,0,3,10,1422045.0,0.0,5737049,4073938,0
0.003,17,1,3,10,2989291.0,0.0,5947634,2717030,0
0.003,17,2,3,10,2978362.0,0.0,6051773,2826450,0
0.003,17,3,3,10,1560478.0,0.0,6170289,4362852,0
0.003,17,4,3,10,0.0,0.0,6363403,6121968,0
0.003,17,5,3,10,1495331.0,0.0,6068870,4332424,0
0.003,17,6,3,10,2989137.0,0.0,5700627,2476455,0
0.003,17,7,3,10,1488534.0,2003.6666666666665,5996511,4260812,0.0013460671148033344
0.003,17,8,3,10,0.0,0.0,6140741,5894068,0
0.003,17,9,3,10,2995262.0,0.0,6075717,2845285,0
0.003,18,0,3,10,0.0,0.0,6050335,5803151,0
0.003,18,1,3,10,2994540.0,0.0,6153036,2917386,0
0.003,18,2,3,10,2972956.0,0.0,6040107,2820337,0
0.003,18,3,3,10,2995764.0,0.0,5791610,2560758,0
0.003,18,4,3,10,0.0,0.0,5803453,5556454,0
0.003,18,5,3,10,0.0,0.0,5840101,5592986,0
0.003,18,6,3,10,2976413.0,0.0,6194670,2977755,0
0.003,18,7,3,10,2978474.0,2003.3333333333333,5954958,2735508,0.0006726039352142518
0.003,18,8,3,10,0.0,0.0,5940823,5693716,0
0.003,18,9,3,10,2989504.0,0.0,5929758,2699023,0
0.003,19,0,3,10,12038.0,6025.999999999999,5839220,5579984,0.500581491942183
0.003,19,1,3,10,2982645.0,0.0,6183652,2959587,0
0.003,19,2,3,10,2970546.0,0.0,6268072,3056319,0
0.003,19,3,3,10,2989012.0,0.0,5804476,2580189,0
0.003,19,4,3,10,12077.0,3029.5,6220107,5960700,0.2508487207087853
0.003,19,5,3,10,0.0,0.0,6027744,5786914,0
